Number,City,Gender,Age,Income,Illness
116472,Boston,Female,27,77215,No
116473,Boston,Male,59,105600,No
116474,Boston,Male,32,96083,No
116475,Boston,Female,28,105897,No
116476,Boston,Female,55,94077,No
116477,Boston,Female,39,78842,No
116478,Boston,Male,39,95149,No
116479,Boston,Female,50,89118,No
116480,Boston,Female,58,107604,Yes
116481,Boston,Male,31,89236,No
116482,Boston,Male,30,75985,No
116483,Boston,Female,45,94021,No
116484,Boston,Female,31,84380,No
116485,Boston,Female,27,86914,No
116486,Boston,Male,39,89080,No
116487,Boston,Male,30,81430,No
116488,Boston,Female,62,81462,No
116489,Boston,Female,54,59161,No
116490,Boston,Male,41,103707,No
116491,Boston,Female,50,80771,No
116492,Boston,Female,57,80894,No
116493,Boston,Female,51,68170,No
116494,Boston,Male,65,111145,Yes
116495,Boston,Female,27,76330,No
116496,Boston,Female,55,86631,No
116497,Boston,Male,50,83128,No
116498,Boston,Female,45,79364,No
116499,Boston,Male,55,87904,No
116500,Boston,Male,39,99113,No
116501,Boston,Female,50,88895,No
116502,Boston,Male,49,90579,No
116503,Boston,Male,45,88778,No
116504,Boston,Female,40,80183,No
116505,Boston,Female,52,85023,Yes
116506,Boston,Male,60,103362,No
116507,Boston,Male,31,82326,Yes
116508,Boston,Female,26,75341,No
116509,Boston,Female,41,99586,No
116510,Boston,Female,58,89375,No
116511,Boston,Male,35,92857,No
116512,Boston,Female,34,87171,No
116513,Boston,Female,61,80129,No
116514,Boston,Female,49,82345,No
116515,Boston,Male,40,104222,Yes
116516,Boston,Female,54,96378,No
116517,Boston,Female,46,80734,No
116518,Boston,Male,31,90537,No
116519,Boston,Female,44,93346,No
116520,Boston,Female,62,95309,No
116521,Boston,Male,37,99116,No
116522,Boston,Male,36,104438,No
116523,Boston,Male,52,89358,No
116524,Boston,Female,54,92069,No
116525,Boston,Female,38,79490,No
116526,Boston,Male,38,99315,No
116527,Boston,Male,26,99529,Yes
116528,Boston,Male,52,81475,No
116529,Boston,Female,43,75389,No
116530,Boston,Female,62,89737,No
116531,Boston,Female,52,87992,No
116532,Boston,Male,28,104918,No
116533,Boston,Female,55,68099,No
116534,Boston,Female,42,88650,Yes
116535,Boston,Male,35,84868,No
116536,Boston,Male,33,106484,No
116537,Boston,Female,30,94849,No
116538,Boston,Male,40,94499,No
116539,Boston,Female,57,83823,No
116540,Boston,Female,47,78945,No
116541,Boston,Male,30,105360,No
116542,Boston,Female,31,79660,No
116543,Boston,Male,37,94488,No
116544,Boston,Female,27,73503,No
116545,Boston,Female,60,93479,No
116546,Boston,Female,37,99589,No
116547,Boston,Male,48,90434,No
116548,Boston,Male,42,89306,No
116549,Boston,Male,65,72411,No
116550,Boston,Male,57,89379,No
116551,Boston,Male,61,88071,No
116552,Boston,Male,40,101574,No
116553,Boston,Male,56,92320,No
116554,Boston,Female,34,88003,No
116555,Boston,Female,56,86174,No
116556,Boston,Male,26,112943,No
116557,Boston,Female,62,90428,No
116558,Boston,Male,58,98852,No
116559,Boston,Female,55,109961,No
116560,Boston,Male,59,119604,No
116561,Boston,Female,56,89624,No
116562,Boston,Male,65,120452,No
116563,Boston,Female,64,82248,No
116564,Boston,Male,58,93245,No
116565,Boston,Male,64,99356,No
116566,Boston,Female,54,85496,No
116567,Boston,Male,57,98458,Yes
116568,Boston,Female,27,87121,No
116569,Boston,Male,63,96180,No
116570,Boston,Male,41,84164,No
116571,Boston,Male,25,82450,No
116572,Boston,Male,64,87974,No
116573,Boston,Male,40,79104,No
116574,Boston,Male,52,92674,No
116575,Boston,Female,54,90139,No
116576,Boston,Female,47,76979,No
116577,Boston,Male,63,107266,No
116578,Boston,Male,31,89492,No
116579,Boston,Male,41,98616,No
116580,Boston,Female,45,92782,No
116581,Boston,Female,64,85039,No
116582,Boston,Male,53,127045,No
116583,Boston,Male,32,94921,No
116584,Boston,Female,41,88885,No
116585,Boston,Female,31,92324,No
116586,Boston,Male,43,100963,No
116587,Boston,Male,32,104008,No
116588,Boston,Male,50,105280,No
116589,Boston,Male,33,87886,No
116590,Boston,Male,61,93325,Yes
116591,Boston,Male,35,92647,No
116592,Boston,Male,39,99475,No
116593,Boston,Male,35,86815,Yes
116594,Boston,Female,29,94029,Yes
116595,Boston,Male,44,105355,No
116596,Boston,Female,31,84783,No
116597,Boston,Male,58,106300,No
116598,Boston,Male,28,87649,No
116599,Boston,Male,52,91763,No
116600,Boston,Male,52,93825,Yes
116601,Boston,Female,49,82523,Yes
116602,Boston,Female,26,90950,No
116603,Boston,Male,32,101164,No
116604,Boston,Male,29,109555,No
116605,Boston,Female,25,100226,No
116606,Boston,Male,36,89418,No
116607,Boston,Female,33,90709,No
116608,Boston,Male,26,85013,No
116609,Boston,Male,33,103103,No
116610,Boston,Female,53,71837,No
116611,Boston,Male,44,85826,No
116612,Boston,Female,55,81462,Yes
116613,Boston,Male,47,122286,No
116614,Boston,Female,27,95652,No
116615,Boston,Male,32,79652,No
116616,Boston,Female,45,83407,No
116617,Boston,Male,39,79069,No
116618,Boston,Male,28,87509,No
116619,Boston,Female,42,71893,Yes
116620,Boston,Male,42,99563,Yes
116621,Boston,Male,53,101105,No
116622,Boston,Male,56,92945,No
116623,Boston,Female,38,73679,No
116624,Boston,Female,36,103665,Yes
116625,Boston,Male,27,96696,No
116626,Boston,Female,63,78213,No
116627,Boston,Male,40,89519,No
116628,Boston,Male,28,88565,No
116629,Boston,Male,26,104590,No
116630,Boston,Male,34,105688,No
116631,Boston,Male,30,108639,No
116632,Boston,Female,48,98840,No
116633,Boston,Male,26,115048,Yes
116634,Boston,Male,50,85008,No
116635,Boston,Male,52,99541,No
116636,Boston,Female,58,64420,No
116637,Boston,Male,34,87656,No
116638,Boston,Female,45,84167,No
116639,Boston,Male,29,87496,No
116640,Boston,Female,45,82499,No
116641,Boston,Male,64,77708,No
116642,Boston,Male,41,92936,No
116643,Boston,Female,58,90922,No
116644,Boston,Female,40,88624,No
116645,Boston,Female,33,96904,No
116646,Boston,Female,26,85549,No
116647,Boston,Male,45,105518,No
116648,Boston,Male,36,116538,No
116649,Boston,Female,61,76844,No
116650,Boston,Male,39,97981,No
116651,Boston,Female,64,93801,No
116652,Boston,Female,60,86259,No
116653,Boston,Female,64,82443,No
116654,Boston,Male,40,83438,No
116655,Boston,Female,52,90042,No
116656,Boston,Male,38,98604,No
116657,Boston,Male,61,103455,No
116658,Boston,Male,59,99937,No
116659,Boston,Female,41,86426,No
116660,Boston,Female,48,84063,Yes
116661,Boston,Female,26,75808,No
116662,Boston,Male,27,102193,No
116663,Boston,Male,30,104121,No
116664,Boston,Male,34,91777,No
116665,Boston,Male,60,95709,Yes
116666,Boston,Male,25,108435,No
116667,Boston,Female,54,89000,No
116668,Boston,Male,46,92808,No
116669,Boston,Male,53,87618,No
116670,Boston,Male,39,90944,No
116671,Boston,Male,58,103437,No
116672,Boston,Male,36,98792,Yes
116673,Boston,Female,54,91562,No
116674,Boston,Male,29,85142,No
116675,Boston,Female,29,85889,No
116676,Boston,Male,54,112467,No
116677,Boston,Female,42,79624,Yes
116678,Boston,Male,47,101251,No
116679,Boston,Male,55,100897,Yes
116680,Boston,Female,37,85238,No
116681,Boston,Male,46,106253,No
116682,Boston,Male,40,91732,No
116683,Boston,Male,57,102025,No
116684,Boston,Male,26,96229,No
116685,Boston,Male,41,108025,No
116686,Boston,Female,49,78431,No
116687,Boston,Female,43,107193,No
116688,Boston,Female,61,74450,Yes
116689,Boston,Male,61,95514,Yes
116690,Boston,Female,37,73359,No
116691,Boston,Male,41,91712,No
116692,Boston,Female,26,75637,No
116693,Boston,Male,43,98123,No
116694,Boston,Male,27,100823,No
116695,Boston,Female,61,76141,No
116696,Boston,Female,37,104722,No
116697,Boston,Female,29,104603,No
116698,Boston,Female,39,90047,No
116699,Boston,Male,25,87804,No
116700,Boston,Female,27,78206,No
116701,Boston,Male,48,87375,No
116702,Boston,Female,42,68134,No
116703,Boston,Male,33,97374,No
116704,Boston,Male,31,103363,No
116705,Boston,Male,44,90988,No
116706,Boston,Male,60,92688,No
116707,Boston,Female,47,101043,No
116708,Boston,Male,34,111877,No
116709,Boston,Male,64,98111,Yes
116710,Boston,Female,65,93873,No
116711,Boston,Male,29,112005,No
116712,Boston,Male,37,95719,No
116713,Boston,Male,31,97023,No
116714,Boston,Male,60,104463,No
116715,Boston,Male,60,94945,No
116716,Boston,Female,64,74949,No
116717,Boston,Female,64,96441,No
116718,Boston,Female,48,103239,Yes
116719,Boston,Female,56,82728,Yes
116720,Boston,Female,53,92853,No
116721,Boston,Male,48,107595,No
116722,Boston,Male,43,84306,No
116723,Boston,Female,41,82512,No
116724,Boston,Female,55,74198,No
116725,Boston,Male,36,99228,No
116726,Boston,Male,48,95170,No
116727,Boston,Male,39,105759,No
116728,Boston,Male,48,94641,No
116729,Boston,Male,25,83479,No
116730,Boston,Male,50,82048,No
116731,Boston,Male,56,101578,No
116732,Boston,Female,49,93709,No
116733,Boston,Female,41,94886,No
116734,Boston,Male,44,106175,No
116735,Boston,Male,63,80910,Yes
116736,Boston,Male,43,100114,Yes
116737,Boston,Male,63,101280,No
116738,Boston,Male,30,106079,No
116739,Boston,Male,29,98173,No
116740,Boston,Female,57,92112,No
116741,Boston,Male,63,110610,Yes
116742,Boston,Female,38,92471,No
116743,Boston,Male,46,90653,No
116744,Boston,Male,60,106358,No
116745,Boston,Female,63,79429,Yes
116746,Boston,Male,27,102206,No
116747,Boston,Female,60,90737,No
116748,Boston,Female,48,77344,No
116749,Boston,Male,54,77719,No
116750,Boston,Male,43,93324,No
116751,Boston,Female,27,87499,No
116752,Boston,Male,55,88305,No
116753,Boston,Female,49,68891,Yes
116754,Boston,Female,46,72655,No
116755,Boston,Male,56,91091,Yes
116756,Boston,Female,29,74407,Yes
116757,Boston,Female,42,74275,No
116758,Boston,Male,40,100254,No
116759,Boston,Male,55,93713,No
116760,Boston,Male,50,83293,No
116761,Boston,Female,44,95776,No
116762,Boston,Male,61,114570,No
116763,Boston,Male,36,88502,No
116764,Boston,Female,29,67190,No
116765,Boston,Female,47,84652,No
116766,Boston,Male,40,106898,No
116767,Boston,Male,63,73672,No
116768,Boston,Male,44,96890,No
116769,Boston,Male,50,104302,No
116770,Boston,Male,57,111857,No
116771,Boston,Female,31,81320,No
116772,Boston,Male,50,101078,No
116773,Boston,Male,44,79006,No
116774,Boston,Female,27,83964,No
116775,Boston,Female,35,89478,No
116776,Boston,Female,29,92041,No
116777,Boston,Female,64,85806,No
116778,Boston,Female,54,77242,No
116779,Boston,Male,29,106434,No
116780,Boston,Male,59,70006,No
116781,Boston,Female,59,66140,No
116782,Boston,Male,29,85736,No
116783,Boston,Male,57,106823,No
116784,Boston,Male,55,90610,No
116785,Boston,Male,30,90820,No
116786,Boston,Female,58,84345,No
116787,Boston,Male,28,94897,No
116788,Boston,Male,56,105496,No
116789,Boston,Female,50,105358,No
116790,Boston,Male,64,96615,No
116791,Boston,Male,54,99722,No
116792,Boston,Male,55,105949,No
116793,Boston,Female,56,68763,No
116794,Boston,Male,54,77603,No
116795,Boston,Female,55,91292,No
116796,Boston,Male,51,94576,No
116797,Boston,Female,53,71566,No
116798,Boston,Male,26,78350,No
116799,Boston,Male,57,104675,No
116800,Boston,Female,56,86353,No
116801,Boston,Female,29,88486,No
116802,Boston,Male,40,88804,No
116803,Boston,Female,40,98256,No
116804,Boston,Female,56,92762,No
116805,Boston,Female,41,91128,No
116806,Boston,Female,45,83983,No
116807,Boston,Female,54,92878,No
116808,Boston,Male,58,112155,Yes
116809,Boston,Male,62,95590,No
116810,Boston,Female,40,90826,No
116811,Boston,Male,31,86968,No
116812,Boston,Female,58,79918,No
116813,Boston,Female,61,82510,No
116814,Boston,Female,37,97761,No
116815,Boston,Female,64,72977,No
116816,Boston,Male,59,92311,Yes
116817,Boston,Female,38,98520,No
116818,Boston,Female,25,85711,No
116819,Boston,Male,48,82155,No
116820,Boston,Male,31,113833,No
116821,Boston,Male,28,91231,Yes
116822,Boston,Male,39,117276,No
116823,Boston,Female,37,65420,No
116824,Boston,Male,55,104839,No
116825,Boston,Male,58,113651,No
116826,Boston,Male,38,90248,No
116827,Boston,Female,58,90109,No
116828,Boston,Male,25,95080,No
116829,Boston,Female,33,92795,No
116830,Boston,Female,46,82338,No
116831,Boston,Female,43,99380,No
116832,Boston,Male,29,86181,No
116833,Boston,Male,41,108164,No
116834,Boston,Male,54,94254,No
116835,Boston,Female,40,96802,No
116836,Boston,Female,30,75636,No
116837,Boston,Female,38,91445,No
116838,Boston,Male,53,105110,No
116839,Boston,Female,65,81660,No
116840,Boston,Male,33,98447,No
116841,Boston,Male,50,82902,No
116842,Boston,Female,35,90840,No
116843,Boston,Male,42,100636,No
116844,Boston,Female,41,80052,Yes
116845,Boston,Male,65,92081,No
116846,Boston,Male,54,98758,No
116847,Boston,Male,49,97247,No
116848,Boston,Female,63,81613,No
116849,Boston,Male,43,97116,No
116850,Boston,Male,58,93344,No
116851,Boston,Male,38,82277,No
116852,Boston,Female,28,77898,No
116853,Boston,Female,62,98952,No
116854,Boston,Male,48,104520,No
116855,Boston,Male,58,107277,No
116856,Boston,Female,52,82565,No
116857,Boston,Male,52,100372,No
116858,Boston,Female,62,102826,No
116859,Boston,Male,37,98964,No
116860,Boston,Female,52,90702,No
116861,Boston,Female,40,88199,No
116862,Boston,Male,29,96388,No
116863,Boston,Male,62,80173,No
116864,Boston,Male,47,112030,No
116865,Boston,Male,63,96065,No
116866,Boston,Female,65,82691,No
116867,Boston,Male,45,111305,No
116868,Boston,Male,50,103781,No
116869,Boston,Male,26,92607,No
116870,Boston,Female,30,75994,No
116871,Boston,Female,51,76753,No
116872,Boston,Male,35,94119,No
116873,Boston,Female,40,63758,No
116874,Boston,Female,55,71370,No
116875,Boston,Female,29,79112,No
116876,Boston,Female,47,89083,No
116877,Boston,Female,27,84361,No
116878,Boston,Male,54,96801,No
116879,Boston,Female,49,82163,No
116880,Boston,Male,55,87540,No
116881,Boston,Male,50,108467,No
116882,Boston,Female,45,82503,No
116883,Boston,Female,56,68776,No
116884,Boston,Male,39,80614,No
116885,Boston,Male,49,93757,No
116886,Boston,Female,40,71093,No
116887,Boston,Male,54,89771,No
116888,Boston,Female,26,76067,No
116889,Boston,Male,27,87124,No
116890,Boston,Female,51,89404,No
116891,Boston,Male,51,91251,No
116892,Boston,Male,51,115780,No
116893,Boston,Male,50,83079,No
116894,Boston,Female,28,83700,No
116895,Boston,Female,34,83509,No
116896,Boston,Male,60,93519,No
116897,Boston,Male,37,85229,No
116898,Boston,Female,63,93396,No
116899,Boston,Female,29,89756,No
116900,Boston,Male,41,79961,No
116901,Boston,Male,64,88666,Yes
116902,Boston,Female,39,88869,No
116903,Boston,Male,43,86052,No
116904,Boston,Male,57,113925,No
116905,Boston,Male,27,95554,No
116906,Boston,Male,47,84935,No
116907,Boston,Female,26,94138,No
116908,Boston,Male,40,74279,No
116909,Boston,Male,33,80000,No
116910,Boston,Male,41,72788,No
116911,Boston,Female,45,85135,No
116912,Boston,Male,54,107407,No
116913,Boston,Male,43,95884,No
116914,Boston,Female,26,78188,No
116915,Boston,Male,44,85465,No
116916,Boston,Male,30,98009,No
116917,Boston,Male,31,88701,No
116918,Boston,Male,45,81215,Yes
116919,Boston,Male,34,91681,No
116920,Boston,Male,42,105655,No
116921,Boston,Male,27,90299,No
116922,Boston,Male,54,80101,No
116923,Boston,Male,50,99603,Yes
116924,Boston,Male,41,102459,No
116925,Boston,Male,52,91409,No
116926,Boston,Female,38,87103,No
116927,Boston,Male,31,105771,No
116928,Boston,Female,64,80877,No
116929,Boston,Female,44,69204,No
116930,Boston,Male,33,93887,No
116931,Boston,Female,35,95038,No
116932,Boston,Female,40,85000,Yes
116933,Boston,Female,56,97308,No
116934,Boston,Male,41,94271,No
116935,Boston,Male,62,80528,No
116936,Boston,Female,52,85362,Yes
116937,Boston,Female,44,90545,No
116938,Boston,Male,29,89300,No
116939,Boston,Female,42,90897,Yes
116940,Boston,Female,62,104461,No
116941,Boston,Male,61,90245,No
116942,Boston,Female,35,80486,No
116943,Boston,Male,50,99224,No
116944,Boston,Male,34,93482,No
116945,Boston,Female,62,95219,No
116946,Boston,Female,27,86106,No
116947,Boston,Male,33,109896,No
116948,Boston,Male,62,105310,No
116949,Boston,Male,41,102309,No
116950,Boston,Male,42,97815,No
116951,Boston,Male,32,94044,No
116952,Boston,Male,48,85033,No
116953,Boston,Male,64,86110,No
116954,Boston,Female,30,86735,No
116955,Boston,Female,60,79597,No
116956,Boston,Male,43,85767,No
116957,Boston,Male,55,105934,Yes
116958,Boston,Male,54,117937,No
116959,Boston,Female,37,103981,No
116960,Boston,Male,44,94366,No
116961,Boston,Female,64,93264,No
116962,Boston,Female,58,82781,No
116963,Boston,Male,45,96023,No
116964,Boston,Male,35,114597,No
116965,Boston,Female,42,93104,No
116966,Boston,Male,27,97233,No
116967,Boston,Female,59,85383,No
116968,Boston,Female,42,93090,No
116969,Boston,Female,58,77650,No
116970,Boston,Male,55,107217,No
116971,Boston,Male,63,94888,No
116972,Boston,Female,41,84074,No
116973,Boston,Male,41,86266,No
116974,Boston,Male,58,94861,No
116975,Boston,Male,53,85857,No
116976,Boston,Male,49,88730,No
116977,Boston,Male,45,98147,Yes
116978,Boston,Male,33,111637,No
116979,Boston,Male,55,85670,No
116980,Boston,Male,65,84273,No
116981,Boston,Female,26,77624,No
116982,Boston,Male,43,98912,Yes
116983,Boston,Male,43,84638,Yes
116984,Boston,Male,48,108045,No
116985,Boston,Female,39,80011,No
116986,Boston,Female,64,93357,No
116987,Boston,Female,46,82348,No
116988,Boston,Male,51,109599,No
116989,Boston,Female,58,99477,No
116990,Boston,Female,38,73706,No
116991,Boston,Male,51,104973,No
116992,Boston,Male,32,96014,No
116993,Boston,Female,34,88606,No
116994,Boston,Female,48,100751,No
116995,Boston,Female,39,78764,No
116996,Boston,Male,56,107965,No
116997,Boston,Female,59,88940,No
116998,Boston,Male,50,98596,No
116999,Boston,Male,45,98177,No
117000,Boston,Male,54,83084,No
117001,Boston,Male,32,94187,No
117002,Boston,Male,38,97491,No
117003,Boston,Female,44,87531,No
117004,Boston,Male,61,89463,No
117005,Boston,Female,50,89233,No
117006,Boston,Male,49,88851,No
117007,Boston,Female,48,88899,No
117008,Boston,Female,57,78239,No
117009,Boston,Male,46,102175,No
117010,Boston,Male,34,110681,No
117011,Boston,Female,25,81301,No
117012,Boston,Male,46,100447,No
117013,Boston,Male,56,96076,No
117014,Boston,Female,51,75818,No
117015,Boston,Male,25,90963,No
117016,Boston,Female,57,76192,No
117017,Boston,Male,33,88760,No
117018,Boston,Male,63,105408,No
117019,Boston,Female,44,94381,No
117020,Boston,Male,36,111513,No
117021,Boston,Male,49,108047,Yes
117022,Boston,Female,37,90692,Yes
117023,Boston,Female,55,93425,No
117024,Boston,Female,50,87211,No
117025,Boston,Female,64,73151,No
117026,Boston,Male,36,106087,No
117027,Boston,Female,38,79259,No
117028,Boston,Female,53,76716,No
117029,Boston,Female,28,81574,No
117030,Boston,Male,64,98717,No
117031,Boston,Male,59,99772,No
117032,Boston,Male,29,104780,No
117033,Boston,Female,60,67626,No
117034,Boston,Female,40,88159,No
117035,Boston,Female,54,92110,No
117036,Boston,Male,63,106005,No
117037,Boston,Male,64,108479,No
117038,Boston,Male,42,98159,No
117039,Boston,Female,26,83062,No
117040,Boston,Female,60,99308,No
117041,Boston,Male,29,83291,Yes
117042,Boston,Male,60,91856,No
117043,Boston,Female,31,106048,No
117044,Boston,Male,50,76425,No
117045,Boston,Female,44,79435,No
117046,Boston,Male,64,108548,No
117047,Boston,Male,46,118448,No
117048,Boston,Female,60,74493,No
117049,Boston,Female,64,85063,No
117050,Boston,Female,26,81245,Yes
117051,Boston,Male,28,103554,No
117052,Boston,Male,36,86079,No
117053,Boston,Male,59,93975,No
117054,Boston,Female,29,98152,No
117055,Boston,Female,36,85970,No
117056,Boston,Female,32,94133,Yes
117057,Boston,Female,47,75975,No
117058,Boston,Female,54,88143,No
117059,Boston,Male,36,88672,No
117060,Boston,Female,56,93657,No
117061,Boston,Male,48,97891,No
117062,Boston,Male,52,75720,No
117063,Boston,Female,37,84932,No
117064,Boston,Female,31,73465,No
117065,Boston,Male,50,104531,No
117066,Boston,Male,61,94650,No
117067,Boston,Female,39,76251,No
117068,Boston,Female,56,85215,No
117069,Boston,Female,51,91863,No
117070,Boston,Female,36,92543,No
117071,Boston,Female,32,69966,No
117072,Boston,Male,36,104456,No
117073,Boston,Male,60,113434,No
117074,Boston,Female,51,99464,No
117075,Boston,Female,57,101478,No
117076,Boston,Male,34,88923,No
117077,Boston,Male,29,77030,No
117078,Boston,Female,60,89716,No
117079,Boston,Male,44,110857,Yes
117080,Boston,Female,39,74971,No
117081,Boston,Male,28,79078,No
117082,Boston,Female,34,86111,No
117083,Boston,Male,28,89065,No
117084,Boston,Female,50,79336,No
117085,Boston,Female,26,97304,No
117086,Boston,Female,62,86825,No
117087,Boston,Male,50,91876,No
117088,Boston,Female,57,98381,No
117089,Boston,Male,55,95051,No
117090,Boston,Female,44,85008,No
117091,Boston,Male,50,100082,No
117092,Boston,Female,33,79235,No
117093,Boston,Female,27,87499,No
117094,Boston,Male,46,102525,No
117095,Boston,Female,60,70415,No
117096,Boston,Male,44,94295,No
117097,Boston,Male,48,96134,No
117098,Boston,Female,29,72569,No
117099,Boston,Male,55,103493,No
117100,Boston,Female,54,70745,Yes
117101,Boston,Male,25,114151,No
117102,Boston,Male,48,104227,No
117103,Boston,Male,35,89673,No
117104,Boston,Female,25,98630,No
117105,Boston,Female,48,93649,No
117106,Boston,Male,64,93065,No
117107,Boston,Male,30,96063,No
117108,Boston,Male,47,83556,No
117109,Boston,Male,37,105138,No
117110,Boston,Female,64,89933,No
117111,Boston,Male,48,90310,No
117112,Boston,Female,58,105972,No
117113,Boston,Female,65,90736,No
117114,Boston,Male,40,89520,Yes
117115,Boston,Male,60,86794,No
117116,Boston,Male,56,112111,No
117117,Boston,Female,34,103709,No
117118,Boston,Female,27,93245,No
117119,Boston,Female,51,80104,Yes
117120,Boston,Male,56,117369,No
117121,Boston,Female,45,101183,No
117122,Boston,Male,64,81956,No
117123,Boston,Female,25,107333,No
117124,Boston,Male,47,95832,No
117125,Boston,Male,41,96927,No
117126,Boston,Female,40,93843,No
117127,Boston,Male,59,101036,No
117128,Boston,Male,52,89072,No
117129,Boston,Male,26,98043,No
117130,Boston,Female,53,95752,No
117131,Boston,Female,55,93417,No
117132,Boston,Female,54,89603,No
117133,Boston,Female,25,104113,No
117134,Boston,Female,55,81530,No
117135,Boston,Female,47,92119,No
117136,Boston,Male,28,94305,No
117137,Boston,Female,64,87153,No
117138,Boston,Female,52,76887,No
117139,Boston,Male,34,87085,No
117140,Boston,Male,28,102298,Yes
117141,Boston,Male,31,103150,No
117142,Boston,Male,42,105393,No
117143,Boston,Male,40,90446,Yes
117144,Boston,Male,33,92665,No
117145,Boston,Male,56,92671,No
117146,Boston,Female,57,96907,No
117147,Boston,Male,55,101770,No
117148,Boston,Female,34,93301,No
117149,Boston,Female,65,84433,No
117150,Boston,Female,65,112002,No
117151,Boston,Male,63,92818,No
117152,Boston,Male,48,100489,No
117153,Boston,Male,53,89898,No
117154,Boston,Male,30,89359,No
117155,Boston,Male,59,112901,No
117156,Boston,Female,59,65989,No
117157,Boston,Female,50,86745,No
117158,Boston,Male,42,97656,No
117159,Boston,Male,58,95678,No
117160,Boston,Female,54,90679,No
117161,Boston,Male,36,107486,No
117162,Boston,Female,63,108972,No
117163,Boston,Female,59,88691,No
117164,Boston,Female,34,89558,No
117165,Boston,Female,30,98530,Yes
117166,Boston,Male,31,106690,No
117167,Boston,Male,35,98739,No
117168,Boston,Male,30,72003,Yes
117169,Boston,Male,42,84606,No
117170,Boston,Male,56,86740,No
117171,Boston,Male,55,68212,No
117172,Boston,Male,41,97882,No
117173,Boston,Female,42,96805,No
117174,Boston,Female,39,83506,No
117175,Boston,Male,49,106482,Yes
117176,Boston,Male,37,88505,No
117177,Boston,Male,42,77719,No
117178,Boston,Male,59,92159,No
117179,Boston,Male,38,98589,No
117180,Boston,Female,43,98044,No
117181,Boston,Male,28,86656,No
117182,Boston,Male,49,93196,No
117183,Boston,Male,48,106707,No
117184,Boston,Female,53,82090,No
117185,Boston,Male,61,100460,No
117186,Boston,Female,42,89115,No
117187,Boston,Male,61,87668,No
117188,Boston,Female,37,76940,No
117189,Boston,Male,43,106907,No
117190,Boston,Female,62,75219,Yes
117191,Boston,Male,59,84277,No
117192,Boston,Male,29,94181,No
117193,Boston,Male,53,104123,Yes
117194,Boston,Female,61,67260,No
117195,Boston,Male,41,90378,No
117196,Boston,Female,54,79224,No
117197,Boston,Female,27,81124,No
117198,Boston,Male,34,88582,No
117199,Boston,Male,44,84119,No
117200,Boston,Male,45,96440,No
117201,Boston,Male,40,88689,No
117202,Boston,Male,59,82093,No
117203,Boston,Female,26,86063,No
117204,Boston,Male,33,82509,No
117205,Boston,Male,45,88048,No
117206,Boston,Male,32,82951,No
117207,Boston,Male,43,105246,Yes
117208,Boston,Female,39,81802,No
117209,Boston,Female,42,74250,No
117210,Boston,Male,56,80823,No
117211,Boston,Male,37,79454,No
117212,Boston,Female,59,105635,No
117213,Boston,Male,30,98829,No
117214,Boston,Female,51,70836,No
117215,Boston,Male,48,92279,No
117216,Boston,Female,56,94012,No
117217,Boston,Male,36,99233,No
117218,Boston,Male,27,98101,No
